exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Did anything detract from your experience at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
74b97a2d-c577-4c9e-bcd6-51a65787504c,Boat,,Demersal,Bait,6:00,11:30,80,24,2,0,Red snapper,BagLimit,No,,,6b48d582-4b09-4a8e-b355-3e0ae1cf627d,Nicole.Hamre_UWA,4/18/2022 4:12:11 AM,Nicole.Hamre_UWA,4/18/2022 4:12:11 AM,121.6018919,-34.02459142
043e22af-10e1-466d-8f9f-87d55181a93b,Boat,,Casting,Bait,7:45,12:15,8,2,5,0,"Herring, flat head ",Other,No,,Fisheries brogh5 them in ,16bfe97a-35dd-4b71-926d-c3bbad68e373,Nicole.Hamre_UWA,4/18/2022 4:49:23 AM,Nicole.Hamre_UWA,4/18/2022 4:49:23 AM,121.9405623,-33.8731876
9fb72fa6-1bab-466d-88d9-08f15ae944b7,Boat,,Demersal,Bait,6:15,13:15,30,2,0,0,Midget cod ,EndOfDay,No,,,1af30852-972a-4506-b98a-da7d0a58b1d4,Nicole.Hamre_UWA,4/18/2022 5:39:39 AM,Nicole.Hamre_UWA,4/18/2022 5:39:39 AM,122.0162779,-33.97274698
623e3204-89bc-404a-a8d9-c432906b6418,Boat,,Demersal,Bait,7:00,13:00,30,2,12,0,"Harley, barracuda, ",Weather,No,No,,fe21aa23-330d-4c55-93c2-10f057f86df1,Nicole.Hamre_UWA,4/18/2022 5:52:53 AM,Nicole.Hamre_UWA,4/18/2022 5:52:53 AM,122.0134582,-33.96756313
d664f9e8-83da-4331-b807-23006dcaa809,Boat,,Demersal,Bait,6:00,13:00,50,15,20,0,"Nanny, ",Weather,No,,,9a1ae4cb-4b04-40a8-b7c8-b4f2a3e2ef3d,Nicole.Hamre_UWA,4/18/2022 5:57:27 AM,Nicole.Hamre_UWA,4/18/2022 5:57:27 AM,121.5472933,-33.92682072
75a03b32-df2a-4afe-9275-a1ef7c757e20,Boat,,Casting,Both,7:30,9:00,5,0,0,0,,Weather,No,No,,fdc59df9-6e03-4e08-97b3-b8a1a0484cba,Nicole.Hamre_UWA,4/20/2022 1:15:46 AM,Nicole.Hamre_UWA,4/20/2022 1:15:46 AM,121.9040917,-33.85135902
5ec5b953-f11e-4a38-b87c-781e73fb1e07,Boat,,Casting,Lure,9:00,12:30,12,24,6,0,"24Herring, 1sweep, 3skippy, 1squid",EndOfDay,No,No,,b8c4afcb-a200-499c-ba2f-22d99a44fee0,Nicole.Hamre_UWA,4/20/2022 4:48:20 AM,Nicole.Hamre_UWA,4/20/2022 4:48:20 AM,121.9018077,-33.85699899
ed1c1aa8-ffff-45e0-bd5d-da3d313b93ff,Boat,,Demersal,Bait,5:30,11:00,39,8,7,0,"Swallow tail, breaksea, harlequin, southern blue rock cod",ActivityChange,No,No,,f54f1570-1a7a-4581-ba37-e3799292e14d,Nicole.Hamre_UWA,4/20/2022 5:50:57 AM,Nicole.Hamre_UWA,4/20/2022 5:50:57 AM,122.0026937,-33.97663185
ed1c1aa8-ffff-45e0-bd5d-da3d313b93ff,Boat,,Other,NA,11:30,12:30,2,17,0,0,Abalone,EndOfDay,No,No,,5deb7145-f8b2-4397-a289-912dd9258625,Nicole.Hamre_UWA,4/20/2022 5:52:04 AM,Nicole.Hamre_UWA,4/20/2022 5:52:04 AM,122.0006374,-34.03563933
128459a5-22c9-4f8f-ab70-07c848e61ad6,Boat,,Demersal,Bait,8:00,10:00,40,0,3,0,,Weather,BadConditions,,,ee966d54-46e5-44c9-a745-0414bb0eefd7,Nicole.Hamre_UWA,4/23/2022 3:14:20 AM,Nicole.Hamre_UWA,4/23/2022 3:14:20 AM,121.9232144,-34.08383364
