OBJECTID,GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you been surveyed in the last 2 weeks?,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Do you identify as a TO in this region?,x,y
64,e2e76373-85b8-48e9-a054-04fa6b457658,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931282999726,-33.8334548185701
65,be8a3801-d779-4c30-b1dd-24c6590bab15,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931221449857,-33.8335092869935
66,3783f8f8-18d2-41a6-a1c1-51b39a4320f8,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931194534535,-33.8337800578569
67,97586454-4fd6-452b-a16b-87203e01e829,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931163887611,-33.8334443905065
68,443c5b72-922d-489e-9b6b-323f1cf6b92d,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931293686084,-33.8336817105341
69,fcedcde4-5035-49e4-abdb-aee8f3cdf541,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931069646252,-33.8336790354352
70,3d61651b-35c8-42f5-ae6b-1465e738d0f6,,EH,BandyCreekBR,Yes,No,NE,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.930828465667,-33.8331800142306
71,da74e667-bb5f-4409-ba2c-9c3f043fa2f8,,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.930884710983,-33.8333449078348
72,88ae9399-037e-41e0-a7d7-5970e27d8280,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931306569722,-33.8339600636316
73,a1e5b056-77da-48e8-be2c-6f5762c26e08,,EH,BandyCreekBR,Yes,No,Yes,Yes,2,Yes,2,2,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931258867384,-33.8325130328133
74,7ea34af3-4664-4006-967e-cd1bde677861,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.9308571884,-33.8336591703048
75,271b9b6c-327a-4c5c-b585-4f33c4abfa3f,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931703691553,-33.8337725459488
76,2c63b783-efcb-4aa7-ad8d-f9b5486436f0,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.930832903344,-33.8338607143819
77,7ad0b93e-4ba7-486f-b539-40142d477788,,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.929719281649,-33.8344245938263
78,c567f82a-55d0-4314-85ee-560d20d3ad5a,,EH,BandyCreekBR,Yes,No,Yes,Yes,4,Yes,4,0,2,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931357559894,-33.8336210861312
79,0a5b8863-8140-4542-91eb-ceee62f8b002,,EH,BandyCreekBR,Yes,No,Yes,No,7,Yes,1,7,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931157424232,-33.8331749878506
80,dcf47047-6c74-4e58-9e25-dfbb783e3919,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931311333488,-33.8332592520573
81,76ddcb46-0c4e-4441-bd9e-3d890a74d6e6,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894188276505,-33.8651313685926
82,15590a95-c762-42b4-8e38-6f479473bd1e,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.893983569317,-33.8654891874499
83,1ad75c2b-5aaf-47dd-a8cc-2c8069b590d2,,NSH,EsperanceBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894190158476,-33.864676992486
84,282d3f35-d0cd-4678-9cbf-455d021c089f,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894188276505,-33.8651313685926
85,f961cc07-f0c7-4fbd-a3d2-d9890a9f2f4a,,NSH,EsperanceBR,Yes,No,No,No,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.89375221091,-33.8637716516127
86,175d1c3c-38b0-4ae7-a973-9af6e2eb2509,,NSH,EsperanceBR,Yes,No,Yes,No,2,Yes,1,0,6,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894219027634,-33.8657920915499
