"OBJECTID","GlobalID","aGUID","How many days have you fished in the last 12 months?","How many years have you been fishing for?","Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?","What year were you born?","What is your postcode?","If VISITOR, where are you staying?","# Female or Male","# Number of females in party (excluding participant)","# Number of males in party (excluding participant)","# Number of girls in party","# Number of boys in party","# Boat Length (m)","# Boat number","Comments","created_date","created_user","last_edited_date","last_edited_user"
166,"00000000-0000-0000-0000-000000000000","34E6EA76-A0D9-4C61-ACA9-39A5A3696C72",50,55,"None",NA,1958,6450,"Esperance","Male",NA,NA,NA,NA,3,"Ed284",NA,"15/3/22 3:10","Nicole.Hamre_UWA","15/3/22 3:10","Nicole.Hamre_UWA"
167,"00000000-0000-0000-0000-000000000000","F46B03E7-2958-45BB-847D-6966AB6D6559",12,50,"None",NA,1967,6540,"Esperance","Female",NA,1,NA,NA,3,"Du372",NA,"15/3/22 3:14","Nicole.Hamre_UWA","15/3/22 3:14","Nicole.Hamre_UWA"
168,"00000000-0000-0000-0000-000000000000","67FE0C09-EADD-481E-985A-DBC6CBF06166",50,20,"None",NA,1997,6450,"Esperance","Male",1,NA,NA,NA,3,"Be259",NA,"15/3/22 3:20","Nicole.Hamre_UWA","15/3/22 3:20","Nicole.Hamre_UWA"
169,"00000000-0000-0000-0000-000000000000","A0C5B463-A32A-4C5D-A209-A5B125BE2378",1,10,"None",NA,1998,6170,"Esperance","Male",NA,3,NA,NA,4,"Hire boat",NA,"15/3/22 3:27","Nicole.Hamre_UWA","15/3/22 3:27","Nicole.Hamre_UWA"
170,"00000000-0000-0000-0000-000000000000","97246A80-BE4B-442F-B4E0-BB9D0000E224",5,60,"None",NA,1937,6450,"Esperance","Male",1,NA,NA,NA,3,"Bs606",NA,"15/3/22 3:38","Nicole.Hamre_UWA","15/3/22 3:38","Nicole.Hamre_UWA"
171,"00000000-0000-0000-0000-000000000000","5AA9063F-AEB6-49A6-ADA2-955BF628C841",150,55,"None",NA,1956,6537,"Esperance","Male",NA,1,NA,NA,3,"Iox342n",NA,"15/3/22 3:49","Nicole.Hamre_UWA","15/3/22 3:49","Nicole.Hamre_UWA"
172,"00000000-0000-0000-0000-000000000000","1E6D8A89-5E0A-4DAD-BD48-D544E185F95C",35,38,"None",NA,1972,6460,"Esperance","Male",NA,1,NA,NA,3,"Bb369",NA,"15/3/22 4:17","Nicole.Hamre_UWA","15/3/22 4:17","Nicole.Hamre_UWA"
173,"00000000-0000-0000-0000-000000000000","7CB51318-863B-4561-9A7C-1531C3309708",1,30,"None",NA,1980,6432,"Esperance","Male",NA,NA,NA,NA,3,"Orange boat white top",NA,"15/3/22 4:24","Nicole.Hamre_UWA","15/3/22 4:24","Nicole.Hamre_UWA"
174,"00000000-0000-0000-0000-000000000000","6439B27F-3F8B-456B-BB14-CD70DEB3FD70",4,40,"None",NA,1964,6340,"Esperance","Male",NA,2,NA,NA,7,"Ap678","Too many pots making it dangerous in the water","15/3/22 5:02","Nicole.Hamre_UWA","15/3/22 5:02","Nicole.Hamre_UWA"
175,"00000000-0000-0000-0000-000000000000","E848A873-15A5-4F09-ADB5-5A8E07BB1414",12,45,"None",NA,1967,6450,"Esperance","Male",NA,1,NA,NA,5,"Ed602",NA,"15/3/22 6:16","Nicole.Hamre_UWA","15/3/22 6:16","Nicole.Hamre_UWA"
